iso,country_name,year,tree_cover_ha,country_area_ha,sub-tropical_ha,tropical_ha,temperate_ha,boreal_ha
NOR,Norway,2000,11739521.78,32512221.03,0.00,0.00,14038.00,32366439.00
NPL,Nepal,2000,5161040.902,14766249.54,4537645.00,2861916.00,7421636.00,0.00
NZL,New Zealand,2000,11255742.6,26716575.12,0.00,0.00,26735402.00,0.00
PAK,Pakistan,2000,978655.8892,87417630.6,36036762.00,272520.00,51403970.00,0.00
PAN,Panama,2000,5700499.759,7510419.904,510135.00,7048639.00,0.00,0.00
PER,Peru,2000,78087222.68,129281868.5,41794260.00,88305190.00,103.00,0.00
PHL,Philippines,2000,18599416.94,29585658.16,709223.00,29057952.00,0.00,0.00
PNG,Papua New Guinea,2000,42921809.05,46363061.21,1834167.00,44833133.00,0.00,0.00
POL,Poland,2000,10439489.73,31239917.8,0.00,0.00,31189047.00,0.00
PRI,Puerto Rico,2000,523696.3361,897037.2746,123121.00,778790.00,0.00,0.00
PRK,North Korea,2000,5196389.714,12275519.14,0.00,6605.00,12282824.00,211.00
PRT,Portugal,2000,2302481.425,8955505.678,0.00,0.00,8966882.00,0.00
PRY,Paraguay,2000,24296867.55,39958667.52,31505770.00,8638036.00,0.00,0.00
ROU,Romania,2000,7915161.125,23833793.64,0.00,0.00,23829568.00,0.00
RUS,Russia,2000,761226496.9,1689455452,0.00,1154.00,395100749.00,1275119886.00
RWA,Rwanda,2000,497885.7754,2527769.912,1443072.00,1101690.00,0.00,0.00
SDN,Sudan,2000,72712.56006,187213491.7,188275728.00,0.00,0.00,0.00
SEN,Senegal,2000,39568.36254,19688982.71,19653612.00,151658.00,0.00,0.00
SGP,Singapore,2000,18784.231,69703.69606,0.00,70172.00,0.00,0.00
SLB,Solomon Islands,2000,2741617.787,2853324.006,0.00,2850386.00,0.00,0.00
SLE,Sierra Leone,2000,5617878.286,7260135.886,2042118.00,5264745.00,0.00,0.00
SLV,El Salvador,2000,988823.3082,2042272.859,1887561.00,166926.00,0.00,0.00
SMR,San Marino,2000,829.5404327,6122.35296,0.00,0.00,6123.00,0.00
SOM,Somalia,2000,87128.07478,63353849.52,63726638.00,42989.00,0.00,0.00
SPM,Saint Pierre and Miquelon,2000,5454.071972,22663.41677,0.00,0.00,0.00,22656.00
SRB,Serbia,2000,2730300.36,7823140.491,0.00,0.00,7824698.00,0.00
SSD,South Sudan,2000,11386560.1,62809870.7,62747941.00,470767.00,0.00,0.00
STP,Sao Tome and Principe,2000,14213.57471,100217.9877,0.00,100899.00,0.00,0.00
SUR,Suriname,2000,13949809.57,14642556.87,55033.00,14685117.00,0.00,0.00
SVK,Slovakia,2000,2397197.266,4909915.805,0.00,0.00,4905729.00,0.00
SVN,Slovenia,2000,1293520.687,1998090.785,0.00,0.00,1997590.00,0.00
SWE,Sweden,2000,27883714,45004558.11,0.00,0.00,13871037.00,30963611.00
SWZ,Swaziland,2000,469227.3886,1738333.063,1745360.00,0.00,0.00,0.00
SXM,Sint Maarten,2000,1022.179782,3801.387515,3225.00,597.00,0.00,0.00
SYC,Seychelles,2000,6209.624619,20267.93209,32454.00,16986.00,0.00,0.00
SYR,Syria,2000,105939.8693,18691798.39,5057086.00,0.00,13677830.00,0.00
TCA,Turks and Caicos Islands,2000,10851.31188,99152.01585,77262.00,22368.00,0.00,0.00
TCD,Chad,2000,409749.2947,126995174.5,127725921.00,0.00,0.00,0.00
TGO,Togo,2000,558803.5133,5699519.202,5103744.00,632471.00,0.00,0.00
THA,Thailand,2000,19962441.09,51405448.59,22733916.00,28969115.00,0.00,0.00
TKM,Turkmenistan,2000,10176.93569,48959209.55,0.00,0.00,49026374.00,0.00
TLS,East Timor,2000,726234.4514,1491565.392,1474297.00,26830.00,0.00,0.00
TTO,Trinidad and Tobago,2000,391844.2819,515899.5945,25352.00,493808.00,0.00,0.00
TUN,Tunisia,2000,223827.6199,15486458.27,7354025.00,0.00,8171319.00,0.00
TUR,Turkey,2000,10060827.81,78070340.89,0.00,0.00,78179679.00,0.00
TWN,Taiwan,2000,2342180.547,3640651.397,89366.00,3567844.00,0.00,0.00
TZA,Tanzania,2000,26406465.77,94057690.73,90474389.00,4199433.00,0.00,0.00
UGA,Uganda,2000,7764958.855,24143952.94,21891184.00,2415160.00,0.00,0.00
UKR,Ukraine,2000,11133284.65,60136109.71,0.00,0.00,60081453.00,0.00
UMI,United States Minor Outlying Islands,2000,145.8981168,541.6797628,0.00,520.00,0.00,0.00
URY,Uruguay,2000,1697322.423,17746574.34,17770423.00,404.00,25253.00,0.00
USA,United States,2000,279376627.6,947295610.2,6961397.00,2073052.00,803909405.00,132942954.00
UZB,Uzbekistan,2000,106176.2573,44755388.1,0.00,0.00,44791092.00,0.00
VAT,Vatican City,2000,4.838481851,52.87803968,0.00,0.00,53.00,0.00
VCT,Saint Vincent and the Grenadines,2000,29110.61416,39788.97163,7553.00,32482.00,0.00,0.00
VEN,Venezuela,2000,56533524.97,91249225.53,43112582.00,48730488.00,0.00,0.00
VGB,British Virgin Islands,2000,7463.880884,16932.0445,8000.00,9027.00,0.00,0.00
VIR,"Virgin Islands, U.S.",2000,18997.90728,36213.91573,19428.00,16986.00,0.00,0.00
VNM,Vietnam,2000,16551332.11,32927599.95,9212577.00,23898606.00,0.00,0.00
VUT,Vanuatu,2000,1181152.065,1231886.103,0.00,1238900.00,0.00,0.00
XNC,Northern Cyprus,2000,12307.27553,331406.9142,0.00,0.00,332142.00,0.00
YEM,Yemen,2000,126.1637233,45220898.29,45479111.00,0.00,0.00,0.00
ZAF,South Africa,2000,5983115.285,121971018.8,112458180.00,389524.00,9558862.00,0.00
ZMB,Zambia,2000,24050819.11,75049201.89,75498990.00,0.00,0.00,0.00
ZWE,Zimbabwe,2000,1414326.425,39068111.13,39275333.00,0.00,0.00,0.00
