iso,country_name,year,tree_cover_ha,country_area_ha,sub-tropical_ha,tropical_ha,temperate_ha,boreal_ha
SUR,Suriname,2000,13949809.57,14642556.87,55033,14685117,0,0
SVK,Slovakia,2000,2397197.266,4909915.805,0,0,4905729,0
SVN,Slovenia,2000,1293520.687,1998090.785,0,0,1997590,0
SWE,Sweden,2000,27883714,45004558.11,0,0,13871037,30963611
SWZ,Swaziland,2000,469227.3886,1738333.063,1745360,0,0,0
SXM,Sint Maarten,2000,1022.179782,3801.387515,3225,597,0,0
SYC,Seychelles,2000,6209.624619,20267.93209,32454,16986,0,0
SYR,Syria,2000,105939.8693,18691798.39,5057086,0,13677830,0
TCA,Turks and Caicos Islands,2000,10851.31188,99152.01585,77262,22368,0,0
TCD,Chad,2000,409749.2947,126995174.5,127725921,0,0,0
TGO,Togo,2000,558803.5133,5699519.202,5103744,632471,0,0
THA,Thailand,2000,19962441.09,51405448.59,22733916,28969115,0,0
TKM,Turkmenistan,2000,10176.93569,48959209.55,0,0,49026374,0
TLS,East Timor,2000,726234.4514,1491565.392,1474297,26830,0,0
TTO,Trinidad and Tobago,2000,391844.2819,515899.5945,25352,493808,0,0
TUN,Tunisia,2000,223827.6199,15486458.27,7354025,0,8171319,0
TUR,Turkey,2000,10060827.81,78070340.89,0,0,78179679,0
TWN,Taiwan,2000,2342180.547,3640651.397,89366,3567844,0,0
TZA,Tanzania,2000,26406465.77,94057690.73,90474389,4199433,0,0
UGA,Uganda,2000,7764958.855,24143952.94,21891184,2415160,0,0
UKR,Ukraine,2000,11133284.65,60136109.71,0,0,60081453,0
UMI,United States Minor Outlying Islands,2000,145.8981168,541.6797628,0,520,0,0
URY,Uruguay,2000,1697322.423,17746574.34,17770423,404,25253,0
USA,United States,2000,279376627.6,947295610.2,6961397,2073052,803909405,132942954
UZB,Uzbekistan,2000,106176.2573,44755388.1,0,0,44791092,0
VAT,Vatican City,2000,4.838481851,52.87803968,0,0,53,0
VCT,Saint Vincent and the Grenadines,2000,29110.61416,39788.97163,7553,32482,0,0
VEN,Venezuela,2000,56533524.97,91249225.53,43112582,48730488,0,0
VGB,British Virgin Islands,2000,7463.880884,16932.0445,8000,9027,0,0
VIR,"Virgin Islands, U.S.",2000,18997.90728,36213.91573,19428,16986,0,0
VNM,Vietnam,2000,16551332.11,32927599.95,9212577,23898606,0,0
VUT,Vanuatu,2000,1181152.065,1231886.103,0,1238900,0,0
XCA,,2000,141764.2684,37158133.71,,,,
XKO,Kosovo,2000,370224.384,1091976.448,,,,
XNC,Northern Cyprus,2000,12307.27553,331406.9142,0,0,332142,0
XPI,,2000,0,1969.212716,,,,
XSP,,2000,0,188.1529375,,,,
YEM,Yemen,2000,126.1637233,45220898.29,45479111,0,0,0
ZAF,South Africa,2000,5983115.285,121971018.8,112458180,389524,9558862,0
ZMB,Zambia,2000,24050819.11,75049201.89,75498990,0,0,0
ZWE,Zimbabwe,2000,1414326.425,39068111.13,39275333,0,0,0
